date,feature_index,NO2
2021-04-25 00:00:00+00:00,0,6.430938310586498e-05
2021-04-21 00:00:00+00:00,0,3.645686319941888e-05
2021-04-22 00:00:00+00:00,0,3.3058933240681654e-05
2021-04-20 00:00:00+00:00,0,6.584596849279478e-05
2021-06-22 00:00:00+00:00,0,1.9317657915962627e-05
2021-06-23 00:00:00+00:00,0,1.567594540574646e-05
2021-06-25 00:00:00+00:00,0,1.2034232895530296e-05
2021-06-28 00:00:00+00:00,0,9.773120382305931e-06
2021-06-26 00:00:00+00:00,0,4.468137922231108e-05
2021-06-29 00:00:00+00:00,0,2.152745230432629e-05
2021-06-24 00:00:00+00:00,0,1.9371968903669767e-05
2021-06-27 00:00:00+00:00,0,1.7216485503013246e-05
2020-08-29 00:00:00+00:00,0,4.308345069148345e-06
2020-08-27 00:00:00+00:00,0,2.29151664825622e-05
2020-08-23 00:00:00+00:00,0,8.26120885903947e-05
2020-08-25 00:00:00+00:00,0,2.1905903849983588e-05
2020-08-24 00:00:00+00:00,0,2.9698705475311726e-05
2020-08-28 00:00:00+00:00,0,3.0282990337582305e-05
2020-08-22 00:00:00+00:00,0,3.0867275199852884e-05
2020-08-26 00:00:00+00:00,0,1.3072939054836752e-05
2021-02-13 00:00:00+00:00,0,3.808922338066623e-05
2021-02-11 00:00:00+00:00,0,3.5763783216680174e-05
2021-02-08 00:00:00+00:00,0,3.343834305269411e-05
2021-02-06 00:00:00+00:00,0,3.111290288870805e-05
2021-02-12 00:00:00+00:00,0,2.878746272472199e-05
2021-02-07 00:00:00+00:00,0,1.5462957605905103e-05
2021-02-09 00:00:00+00:00,0,1.9862036211293344e-05
2021-02-10 00:00:00+00:00,0,2.4261114816681584e-05
2021-05-25 00:00:00+00:00,0,2.8660193422069824e-05
2021-05-21 00:00:00+00:00,0,3.3059272027458064e-05
2021-05-24 00:00:00+00:00,0,2.237573789898306e-05
2021-05-26 00:00:00+00:00,0,2.6903369871433824e-05
2021-05-22 00:00:00+00:00,0,9.486902854405344e-05
2021-05-28 00:00:00+00:00,0,3.281092540419195e-05
2021-05-27 00:00:00+00:00,0,2.2283505131781567e-05
2021-05-23 00:00:00+00:00,0,4.952965537086129e-05
2020-06-15 00:00:00+00:00,0,3.3014323889801744e-05
2020-06-14 00:00:00+00:00,0,3.358065669090138e-05
2020-06-13 00:00:00+00:00,0,3.414698949200101e-05
2020-06-16 00:00:00+00:00,0,2.5753096451808233e-05
2020-06-17 00:00:00+00:00,0,1.7359203411615454e-05
2020-06-12 00:00:00+00:00,0,3.58231272912235e-05
2020-06-18 00:00:00+00:00,0,2.8809204195567872e-05
2020-06-11 00:00:00+00:00,0,3.2506402931176126e-05
2021-02-24 00:00:00+00:00,0,3.1852298383859714e-05
2021-02-26 00:00:00+00:00,0,3.1198193836543294e-05
2021-02-22 00:00:00+00:00,0,3.054408928922688e-05
2021-02-25 00:00:00+00:00,0,2.9889984741910463e-05
2021-02-27 00:00:00+00:00,0,2.923588019459405e-05
2021-02-23 00:00:00+00:00,0,2.8581775647277634e-05
2021-02-28 00:00:00+00:00,0,2.792767109996122e-05
2021-03-01 00:00:00+00:00,0,2.7273566552644803e-05
2020-07-28 00:00:00+00:00,0,2.6619462005328387e-05
2020-07-24 00:00:00+00:00,0,3.4550746477179928e-06
2020-07-26 00:00:00+00:00,0,1.9152714230585843e-05
2020-07-22 00:00:00+00:00,0,4.346948480815627e-05
2020-07-27 00:00:00+00:00,0,3.720043969224207e-05
2020-07-23 00:00:00+00:00,0,2.2544327293871905e-05
2020-07-21 00:00:00+00:00,0,1.8011568499787245e-05
2020-07-25 00:00:00+00:00,0,3.340864714118652e-05
2020-10-12 00:00:00+00:00,0,2.738674356805859e-05
2020-10-11 00:00:00+00:00,0,1.0287811164744198e-05
2020-10-10 00:00:00+00:00,0,8.198829618777381e-06
2020-10-13 00:00:00+00:00,0,6.109848072810564e-06
2020-10-09 00:00:00+00:00,0,2.8870178084616782e-05
2020-10-15 00:00:00+00:00,0,5.1630508096423e-05
2020-10-14 00:00:00+00:00,0,3.108037526544649e-05
2020-10-16 00:00:00+00:00,0,1.5379006526927697e-05
2020-12-02 00:00:00+00:00,0,3.691004858410452e-05
2020-11-30 00:00:00+00:00,0,5.844109064128134e-05
2020-11-27 00:00:00+00:00,0,7.997213269845816e-05
2020-11-26 00:00:00+00:00,0,0.00010150317475563498
2020-12-01 00:00:00+00:00,0,0.0001230342168128118
2020-12-03 00:00:00+00:00,0,0.00012640164204640313
2020-11-29 00:00:00+00:00,0,0.0001297690672799945
2020-11-28 00:00:00+00:00,0,0.00013313649251358583
2021-01-08 00:00:00+00:00,0,0.0001365039177471772
2021-01-12 00:00:00+00:00,0,0.00013987134298076853
2021-01-09 00:00:00+00:00,0,0.00012425006730154564
2021-01-10 00:00:00+00:00,0,0.00010862879162232275
2021-01-07 00:00:00+00:00,0,9.300751594309986e-05
2021-01-11 00:00:00+00:00,0,7.738624026387697e-05
2021-01-06 00:00:00+00:00,0,6.176496458465408e-05
2021-01-05 00:00:00+00:00,0,4.614368890543119e-05
2021-01-25 00:00:00+00:00,0,3.05224132262083e-05
2021-01-27 00:00:00+00:00,0,1.490113754698541e-05
2021-01-26 00:00:00+00:00,0,2.9182800972193945e-05
2021-01-21 00:00:00+00:00,0,4.346446439740248e-05
2021-01-22 00:00:00+00:00,0,6.460785516537726e-05
2021-01-23 00:00:00+00:00,0,7.068654394970508e-05
2021-01-24 00:00:00+00:00,0,7.67652327340329e-05
2021-01-28 00:00:00+00:00,0,8.284392151836073e-05
2021-03-14 00:00:00+00:00,0,8.892261030268855e-05
2021-03-15 00:00:00+00:00,0,9.500129908701638e-05
2021-03-12 00:00:00+00:00,0,9.104096773171477e-05
2021-03-16 00:00:00+00:00,0,8.708063637641317e-05
2021-03-17 00:00:00+00:00,0,8.312030502111156e-05
2021-03-13 00:00:00+00:00,0,7.915997366580996e-05
2021-03-11 00:00:00+00:00,0,7.519964231050835e-05
2021-03-10 00:00:00+00:00,0,7.123931095520675e-05
2020-10-17 00:00:00+00:00,0,6.727897959990514e-05
2020-10-22 00:00:00+00:00,0,6.331864824460354e-05
2020-10-21 00:00:00+00:00,0,6.332159773592139e-05
2020-10-18 00:00:00+00:00,0,6.332454722723924e-05
2020-10-19 00:00:00+00:00,0,6.332749671855709e-05
2020-10-20 00:00:00+00:00,0,6.333044620987494e-05
2020-10-23 00:00:00+00:00,0,6.333339570119279e-05
2020-10-24 00:00:00+00:00,0,6.333634519251063e-05
2020-12-29 00:00:00+00:00,0,6.267799790293793e-05
2021-01-02 00:00:00+00:00,0,6.201965061336523e-05
2020-12-30 00:00:00+00:00,0,6.136130332379253e-05
2021-01-01 00:00:00+00:00,0,6.0702956034219824e-05
2021-01-03 00:00:00+00:00,0,6.004460874464712e-05
2021-01-04 00:00:00+00:00,0,5.938626145507442e-05
2020-12-28 00:00:00+00:00,0,5.8727914165501716e-05
2020-12-31 00:00:00+00:00,0,5.806956687592901e-05
2021-04-04 00:00:00+00:00,0,5.681140646629501e-05
2021-04-07 00:00:00+00:00,0,5.555324605666101e-05
2021-04-10 00:00:00+00:00,0,5.429508564702701e-05
2021-04-08 00:00:00+00:00,0,5.303692523739301e-05
2021-04-05 00:00:00+00:00,0,5.1778764827759005e-05
2021-04-06 00:00:00+00:00,0,4.9302094945839294e-05
2021-04-09 00:00:00+00:00,0,4.682542506391959e-05
2021-04-03 00:00:00+00:00,0,4.434875518199988e-05
2021-04-11 00:00:00+00:00,0,2.7168997803528327e-05
2021-04-17 00:00:00+00:00,0,3.0210007025743835e-05
2021-04-15 00:00:00+00:00,0,3.377482789801434e-05
2021-04-12 00:00:00+00:00,0,0.0001769001282809768
2021-04-16 00:00:00+00:00,0,3.79304383386625e-05
2021-04-13 00:00:00+00:00,0,3.218365630649108e-05
2021-04-14 00:00:00+00:00,0,2.6436874274319656e-05
2021-04-18 00:00:00+00:00,0,2.069009224214824e-05
2020-09-17 00:00:00+00:00,0,2.802349263220094e-05
