date,feature_index,NO2
2021-06-27T00:00:00.000Z,0,1.7216485503013246E-5
2020-08-29T00:00:00.000Z,0,4.308345069148345E-6
2020-08-27T00:00:00.000Z,0,2.29151664825622E-5
2020-08-23T00:00:00.000Z,0,8.26120885903947E-5
2020-08-25T00:00:00.000Z,0,2.1905903849983588E-5
2020-08-24T00:00:00.000Z,0,2.9698705475311726E-5
2020-08-28T00:00:00.000Z,0,
2020-08-22T00:00:00.000Z,0,3.0867275199852884E-5
2020-08-26T00:00:00.000Z,0,1.3072939054836752E-5
2021-02-13T00:00:00.000Z,0,3.8089223380666226E-5
2021-02-11T00:00:00.000Z,0,
2021-02-08T00:00:00.000Z,0,
2021-02-06T00:00:00.000Z,0,
2021-02-12T00:00:00.000Z,0,2.878746272472199E-5
2021-02-07T00:00:00.000Z,0,1.5462957605905103E-5
2021-02-09T00:00:00.000Z,0,
2021-02-10T00:00:00.000Z,0,
2021-05-25T00:00:00.000Z,0,
2021-05-21T00:00:00.000Z,0,3.3059272027458064E-5
2021-05-24T00:00:00.000Z,0,2.237573789898306E-5
2021-05-26T00:00:00.000Z,0,2.6903369871433824E-5
2021-05-22T00:00:00.000Z,0,9.486902854405344E-5
2021-05-28T00:00:00.000Z,0,3.281092540419195E-5
2021-05-27T00:00:00.000Z,0,2.2283505131781567E-5
2021-05-23T00:00:00.000Z,0,4.952965537086129E-5
2020-06-15T00:00:00.000Z,0,3.3014323889801744E-5
2020-06-14T00:00:00.000Z,0,
2020-06-13T00:00:00.000Z,0,3.414698949200101E-5
2020-06-16T00:00:00.000Z,0,
2020-06-17T00:00:00.000Z,0,1.7359203411615454E-5
2020-06-12T00:00:00.000Z,0,3.58231272912235E-5
2020-06-18T00:00:00.000Z,0,2.8809204195567872E-5
2020-06-11T00:00:00.000Z,0,3.2506402931176126E-5
2021-02-24T00:00:00.000Z,0,
2021-02-26T00:00:00.000Z,0,
2021-02-22T00:00:00.000Z,0,
2021-02-25T00:00:00.000Z,0,
2021-02-27T00:00:00.000Z,0,
2021-02-23T00:00:00.000Z,0,
2021-02-28T00:00:00.000Z,0,
2021-03-01T00:00:00.000Z,0,
2020-07-28T00:00:00.000Z,0,2.6619462005328387E-5
2020-07-24T00:00:00.000Z,0,3.4550746477179928E-6
2020-07-26T00:00:00.000Z,0,1.9152714230585843E-5
2020-07-22T00:00:00.000Z,0,4.346948480815627E-5
2020-07-27T00:00:00.000Z,0,3.720043969224207E-5
2020-07-23T00:00:00.000Z,0,2.2544327293871902E-5
2020-07-21T00:00:00.000Z,0,1.8011568499787245E-5
2020-07-25T00:00:00.000Z,0,3.340864714118652E-5
2020-10-12T00:00:00.000Z,0,2.738674356805859E-5
2020-10-11T00:00:00.000Z,0,1.0287811164744198E-5
2020-10-10T00:00:00.000Z,0,
2020-10-13T00:00:00.000Z,0,6.109848072810564E-6
2020-10-09T00:00:00.000Z,0,
2020-10-15T00:00:00.000Z,0,5.1630508096423E-5
2020-10-14T00:00:00.000Z,0,3.108037526544649E-5
2020-10-16T00:00:00.000Z,0,1.5379006526927697E-5
2020-12-02T00:00:00.000Z,0,
2020-11-30T00:00:00.000Z,0,
2020-11-27T00:00:00.000Z,0,
2020-11-26T00:00:00.000Z,0,
2020-12-01T00:00:00.000Z,0,1.230342168128118E-4
2020-12-03T00:00:00.000Z,0,
2020-11-29T00:00:00.000Z,0,
2020-11-28T00:00:00.000Z,0,
2021-01-08T00:00:00.000Z,0,
2021-01-12T00:00:00.000Z,0,1.3987134298076853E-4
2021-01-09T00:00:00.000Z,0,
2021-01-10T00:00:00.000Z,0,
2021-01-07T00:00:00.000Z,0,
2021-01-11T00:00:00.000Z,0,
2021-01-06T00:00:00.000Z,0,
2021-01-05T00:00:00.000Z,0,
2021-01-25T00:00:00.000Z,0,
2021-01-27T00:00:00.000Z,0,1.490113754698541E-5
2021-01-26T00:00:00.000Z,0,
2021-01-21T00:00:00.000Z,0,4.346446439740248E-5
2021-01-22T00:00:00.000Z,0,6.460785516537726E-5
2021-01-23T00:00:00.000Z,0,
2021-01-24T00:00:00.000Z,0,
2021-01-28T00:00:00.000Z,0,
2021-03-14T00:00:00.000Z,0,
2021-03-15T00:00:00.000Z,0,9.500129908701638E-5
2021-03-12T00:00:00.000Z,0,
2021-03-16T00:00:00.000Z,0,
2021-03-17T00:00:00.000Z,0,
2021-03-13T00:00:00.000Z,0,
2021-03-11T00:00:00.000Z,0,
2021-03-10T00:00:00.000Z,0,
2020-10-17T00:00:00.000Z,0,
2020-10-22T00:00:00.000Z,0,6.331864824460354E-5
2020-10-21T00:00:00.000Z,0,
2020-10-18T00:00:00.000Z,0,
2020-10-19T00:00:00.000Z,0,
2020-10-20T00:00:00.000Z,0,
2020-10-23T00:00:00.000Z,0,
2020-10-24T00:00:00.000Z,0,6.333634519251063E-5
2020-12-29T00:00:00.000Z,0,
2021-01-02T00:00:00.000Z,0,
2020-12-30T00:00:00.000Z,0,
2021-01-01T00:00:00.000Z,0,
2021-01-03T00:00:00.000Z,0,
2021-01-04T00:00:00.000Z,0,
2020-12-28T00:00:00.000Z,0,
2020-12-31T00:00:00.000Z,0,5.806956687592901E-5
2021-04-04T00:00:00.000Z,0,
2021-04-07T00:00:00.000Z,0,
2021-04-10T00:00:00.000Z,0,
2021-04-08T00:00:00.000Z,0,
2021-04-05T00:00:00.000Z,0,5.1778764827759005E-5
2021-04-06T00:00:00.000Z,0,
2021-04-09T00:00:00.000Z,0,
2021-04-03T00:00:00.000Z,0,4.434875518199988E-5
2021-04-11T00:00:00.000Z,0,2.7168997803528327E-5
2021-04-17T00:00:00.000Z,0,3.0210007025743835E-5
2021-04-15T00:00:00.000Z,0,3.377482789801434E-5
2021-04-12T00:00:00.000Z,0,1.769001282809768E-4
2021-04-16T00:00:00.000Z,0,3.79304383386625E-5
2021-04-13T00:00:00.000Z,0,
2021-04-14T00:00:00.000Z,0,
2021-04-18T00:00:00.000Z,0,2.069009224214824E-5
2020-09-17T00:00:00.000Z,0,2.802349263220094E-5
2020-09-15T00:00:00.000Z,0,2.9322489353944547E-5
2020-09-19T00:00:00.000Z,0,2.2021898985258304E-5
2020-09-21T00:00:00.000Z,0,3.5815891351376195E-5
2020-09-18T00:00:00.000Z,0,
2020-09-16T00:00:00.000Z,0,2.684574428712949E-5
2020-09-20T00:00:00.000Z,0,
2020-09-22T00:00:00.000Z,0,7.377182555501349E-5
2021-06-17T00:00:00.000Z,0,
2021-06-21T00:00:00.000Z,0,5.069432154414244E-5
2021-06-18T00:00:00.000Z,0,
2021-06-19T00:00:00.000Z,0,3.461345113464631E-5
2021-06-14T00:00:00.000Z,0,
2021-06-20T00:00:00.000Z,0,
2021-06-15T00:00:00.000Z,0,
2021-06-16T00:00:00.000Z,0,
2021-02-19T00:00:00.000Z,0,3.275691778981127E-5
2021-02-15T00:00:00.000Z,0,4.697468102676794E-5
2021-02-17T00:00:00.000Z,0,9.713356848806143E-5
2021-02-21T00:00:00.000Z,0,2.340684659429826E-5
2021-02-14T00:00:00.000Z,0,
2021-02-20T00:00:00.000Z,0,
2021-02-16T00:00:00.000Z,0,
2021-02-18T00:00:00.000Z,0,3.1242019758792594E-5
2020-12-12T00:00:00.000Z,0,
2020-12-15T00:00:00.000Z,0,5.378073547035456E-5
2020-12-19T00:00:00.000Z,0,
2020-12-18T00:00:00.000Z,0,
2020-12-13T00:00:00.000Z,0,
2020-12-17T00:00:00.000Z,0,
2020-12-14T00:00:00.000Z,0,
2020-12-16T00:00:00.000Z,0,
2021-03-30T00:00:00.000Z,0,
2021-04-01T00:00:00.000Z,0,5.356271503842436E-5
2021-03-27T00:00:00.000Z,0,
2021-03-31T00:00:00.000Z,0,1.3273677905090153E-4
2021-03-28T00:00:00.000Z,0,8.789835555944592E-5
2021-03-29T00:00:00.000Z,0,
2021-03-26T00:00:00.000Z,0,
2021-04-02T00:00:00.000Z,0,7.536041084676981E-5
2020-06-20T00:00:00.000Z,0,
2020-06-26T00:00:00.000Z,0,4.8725802116678096E-5
2020-06-23T00:00:00.000Z,0,2.9959268431412056E-5
2020-06-24T00:00:00.000Z,0,2.0689198208856396E-5
2020-06-19T00:00:00.000Z,0,2.9370914489845745E-5
2020-06-21T00:00:00.000Z,0,
2020-06-25T00:00:00.000Z,0,4.4684520617011E-5
