NO2_t-1,NO2_t+1,NO2_t+2,NO2_t+3
2.0795843132267084e-05,2.231253001534214e-05,2.0797351983977325e-05,1.857300818330028e-05
2.130140542662544e-05,2.0797351983977325e-05,1.857300818330028e-05,2.108744942349389e-05
2.231253001534214e-05,1.857300818330028e-05,2.108744942349389e-05,1.941115526336481e-05
2.0797351983977325e-05,2.108744942349389e-05,1.941115526336481e-05,2.3601890663687497e-05
1.857300818330028e-05,1.941115526336481e-05,2.3601890663687497e-05,2.1925596503558425e-05
2.108744942349389e-05,2.3601890663687497e-05,2.1925596503558425e-05,2.024930234342936e-05
1.941115526336481e-05,2.1925596503558425e-05,2.024930234342936e-05,2.444003774375204e-05
2.3601890663687497e-05,2.024930234342936e-05,2.444003774375204e-05,2.276374358362296e-05
2.1925596503558425e-05,2.444003774375204e-05,2.276374358362296e-05,1.13110227175639e-05
2.024930234342936e-05,2.276374358362296e-05,1.13110227175639e-05,1.0800035397551255e-05
2.444003774375204e-05,1.13110227175639e-05,1.0800035397551255e-05,1.1309517276458791e-05
2.276374358362296e-05,1.0800035397551255e-05,1.1309517276458791e-05,1.1818999155366328e-05
1.13110227175639e-05,1.1309517276458791e-05,1.1818999155366328e-05,1.7122188031256275e-05
1.0800035397551255e-05,1.1818999155366328e-05,1.7122188031256275e-05,1.748535002358646e-05
1.1309517276458791e-05,1.7122188031256275e-05,1.748535002358646e-05,1.675166587726077e-05
1.1818999155366328e-05,1.748535002358646e-05,1.675166587726077e-05,1.3348950233194046e-05
1.7122188031256275e-05,1.675166587726077e-05,1.3348950233194046e-05,1.489499669939202e-05
1.748535002358646e-05,1.3348950233194046e-05,1.489499669939202e-05,1.956649841001005e-05
1.675166587726077e-05,1.489499669939202e-05,1.956649841001005e-05,2.1123665646882728e-05
1.3348950233194046e-05,1.956649841001005e-05,2.1123665646882728e-05,1.3337829462519345e-05
1.489499669939202e-05,2.1123665646882728e-05,1.3337829462519345e-05,3.297584670589358e-05
1.956649841001005e-05,1.3337829462519345e-05,3.297584670589358e-05,1.6452163936264697e-05
2.1123665646882728e-05,3.297584670589358e-05,1.6452163936264697e-05,2.704975617638816e-05
1.3337829462519345e-05,1.6452163936264697e-05,2.704975617638816e-05,1.8009331173137375e-05
3.297584670589358e-05,2.704975617638816e-05,1.8009331173137375e-05,1.716014500307107e-05
1.6452163936264697e-05,1.8009331173137375e-05,1.716014500307107e-05,2.033577136513265e-05
2.704975617638816e-05,1.716014500307107e-05,2.033577136513265e-05,1.7696118095242046e-05
1.8009331173137375e-05,2.033577136513265e-05,1.7696118095242046e-05,2.4047370819365217e-05
1.716014500307107e-05,1.7696118095242046e-05,2.4047370819365217e-05,2.228802512149741e-05
2.033577136513265e-05,2.4047370819365217e-05,2.228802512149741e-05,1.8232091187413022e-05
1.7696118095242046e-05,2.228802512149741e-05,1.8232091187413022e-05,1.6624171910900092e-05
2.4047370819365217e-05,1.8232091187413022e-05,1.6624171910900092e-05,1.8768064279584e-05
2.228802512149741e-05,1.6624171910900092e-05,1.8768064279584e-05,1.4643798395910482e-05
1.8232091187413022e-05,1.8768064279584e-05,1.4643798395910482e-05,1.6408852388849482e-05
1.6624171910900092e-05,1.4643798395910482e-05,1.6408852388849482e-05,2.2911524107864047e-05
1.8768064279584e-05,1.6408852388849482e-05,2.2911524107864047e-05,1.3459393964391593e-05
1.4643798395910482e-05,2.2911524107864047e-05,1.3459393964391593e-05,2.704538696384083e-05
1.6408852388849482e-05,1.3459393964391593e-05,2.704538696384083e-05,1.4878901311021764e-05
2.2911524107864047e-05,2.704538696384083e-05,1.4878901311021764e-05,1.8777661251887264e-05
1.3459393964391593e-05,1.4878901311021764e-05,1.8777661251887264e-05,1.0509935539933698e-05
2.704538696384083e-05,1.8777661251887264e-05,1.0509935539933698e-05,1.7210322539540357e-05
1.4878901311021764e-05,1.0509935539933698e-05,1.7210322539540357e-05,1.4472131264634904e-05
1.8777661251887264e-05,1.7210322539540357e-05,1.4472131264634904e-05,1.961965934545636e-05
1.0509935539933698e-05,1.4472131264634904e-05,1.961965934545636e-05,1.5258971049863452e-05
1.7210322539540357e-05,1.961965934545636e-05,1.5258971049863452e-05,1.7806296606674248e-05
1.4472131264634904e-05,1.5258971049863452e-05,1.7806296606674248e-05,1.3307619560186544e-05
1.961965934545636e-05,1.7806296606674248e-05,1.3307619560186544e-05,1.5636642969083267e-05
1.5258971049863452e-05,1.3307619560186544e-05,1.5636642969083267e-05,1.680115467353163e-05
1.7806296606674248e-05,1.5636642969083267e-05,1.680115467353163e-05,3.475234615944391e-05
1.3307619560186544e-05,1.680115467353163e-05,3.475234615944391e-05,2.7639245499380025e-05
1.5636642969083267e-05,3.475234615944391e-05,2.7639245499380025e-05,2.539392131612181e-05
1.680115467353163e-05,2.7639245499380025e-05,2.539392131612181e-05,2.314859713286361e-05
3.475234615944391e-05,2.539392131612181e-05,2.314859713286361e-05,3.288415008647497e-05
2.7639245499380025e-05,2.314859713286361e-05,3.288415008647497e-05,3.101595401350604e-05
2.539392131612181e-05,3.288415008647497e-05,3.101595401350604e-05,3.212989386589643e-05
2.314859713286361e-05,3.101595401350604e-05,3.212989386589643e-05,3.6620542232412845e-05
3.288415008647497e-05,3.212989386589643e-05,3.6620542232412845e-05,2.264623098098026e-05
3.101595401350604e-05,3.6620542232412845e-05,2.264623098098026e-05,1.9105925124070684e-05
3.212989386589643e-05,2.264623098098026e-05,1.9105925124070684e-05,3.459916135600199e-05
3.6620542232412845e-05,1.9105925124070684e-05,3.459916135600199e-05,2.08260692697119e-05
2.264623098098026e-05,3.459916135600199e-05,2.08260692697119e-05,3.117924981981761e-05
1.9105925124070684e-05,2.08260692697119e-05,3.117924981981761e-05,2.573314162194918e-05
3.459916135600199e-05,3.117924981981761e-05,2.573314162194918e-05,2.0287033424080748e-05
2.08260692697119e-05,2.573314162194918e-05,2.0287033424080748e-05,2.254621341535312e-05
3.117924981981761e-05,2.0287033424080748e-05,2.254621341535312e-05,2.618653683788984e-05
2.573314162194918e-05,2.254621341535312e-05,2.618653683788984e-05,1.4773830040818815e-05
2.0287033424080748e-05,2.618653683788984e-05,1.4773830040818815e-05,2.4725112598389388e-05
2.254621341535312e-05,1.4773830040818815e-05,2.4725112598389388e-05,2.972684269479941e-05
2.618653683788984e-05,2.4725112598389388e-05,2.972684269479941e-05,3.935810430751493e-05
1.4773830040818815e-05,2.972684269479941e-05,3.935810430751493e-05,3.196173410439466e-05
2.4725112598389388e-05,3.935810430751493e-05,3.196173410439466e-05,2.7893681842922684e-05
2.972684269479941e-05,3.196173410439466e-05,2.7893681842922684e-05,2.382562958145071e-05
3.935810430751493e-05,2.7893681842922684e-05,2.382562958145071e-05,1.9757577319978736e-05
3.196173410439466e-05,2.382562958145071e-05,1.9757577319978736e-05,1.7009988027893996e-05
2.7893681842922684e-05,1.9757577319978736e-05,1.7009988027893996e-05,2.378077063743452e-05
2.382562958145071e-05,1.7009988027893996e-05,2.378077063743452e-05,2.045993902096857e-05
1.9757577319978736e-05,2.378077063743452e-05,2.045993902096857e-05,2.0528679423629605e-05
1.7009988027893996e-05,2.045993902096857e-05,2.0528679423629605e-05,2.0947772213730783e-05
2.378077063743452e-05,2.0528679423629605e-05,2.0947772213730783e-05,1.87693337257618e-05
2.045993902096857e-05,2.0947772213730783e-05,1.87693337257618e-05,2.5037093413023587e-05
